Date,CALAVO GROWERS INC##,Fresh Del Monte Produce Inc. Common Stock,Chipotle Mexican Grill Inc. Common Stock,Sysco Corporation Common Stock
8/27/2018,105.9500,38.4500,495.6000,74.5400
8/24/2018,105.5000,38.0100,520.7100,75.7800
8/23/2018,104.7000,37.9700,518.0400,75.2100
8/22/2018,104.6500,38.2000,523.5800,75.0800
8/21/2018,101.8000,38.0100,518.9000,74.3700
8/20/2018,101.2000,37.9600,515.7500,75.1800
8/17/2018,100.8250,38.1100,510.4400,74.8300
8/16/2018,100.0000,38.0400,502.7000,73.8800
8/15/2018,100.9000,38.2800,525.8900,74.8900
8/14/2018,101.9000,38.4400,493.3200,74.1900
8/13/2018,98.2500,38.3100,484.6600,72.7500
8/10/2018,98.0000,38.4100,485.4700,68.4800
8/9/2018,96.4500,38.9800,487.6800,70.0300
8/8/2018,94.7000,38.7100,487.5700,69.8500
8/7/2018,93.8500,38.1000,478.0200,69.5500
8/6/2018,95.7000,38.0000,475.2500,69.7200
8/3/2018,94.7500,37.5500,463.2700,68.5700
8/2/2018,93.7500,36.8900,460.3800,68.0400
8/1/2018,92.7000,37.1600,442.6300,67.0700
7/31/2018,92.5000,36.3000,433.6600,67.2100
7/30/2018,92.5000,40.5500,465.4700,66.6700
7/27/2018,92.2500,40.8600,472.3000,71.4800
7/26/2018,92.9500,41.6400,446.7600,71.7400
7/25/2018,92.8500,40.8000,451.6300,70.9300
7/24/2018,94.3000,41.4800,449.4800,70.2300
7/23/2018,94.9500,42.2600,456.5900,70.8600
7/20/2018,94.0500,42.8200,451.1900,71.0000
7/19/2018,94.1500,42.9800,454.8300,70.8800
7/18/2018,94.5000,42.8800,453.5800,70.3200
7/17/2018,95.7500,43.4500,452.5400,71.0700
7/16/2018,94.6000,43.3900,452.0600,70.4900
7/13/2018,95.2000,44.1100,457.2100,70.7400
7/12/2018,95.2500,44.3500,459.0500,69.8400
7/11/2018,95.9000,44.5500,457.1800,69.4000
7/10/2018,95.5500,44.7000,454.2100,69.6500
7/9/2018,96.3000,44.9100,463.8900,69.3300
7/6/2018,97.8000,45.0100,451.0400,69.3800
7/5/2018,97.8500,44.7100,448.0200,69.3600
7/4/2018,97.3500,44.5100,448.4850,68.9500
7/3/2018,96.8500,44.3100,448.9500,68.5400
7/2/2018,97.1000,44.3300,442.8200,67.9600
6/29/2018,96.1500,44.5500,431.3700,68.2900
6/28/2018,95.1000,44.6100,428.3600,68.3500
6/27/2018,93.7000,44.5200,457.2400,68.0600
6/26/2018,95.5500,45.0300,461.7000,68.2100
6/25/2018,96.3000,44.7800,454.1700,68.2300
6/22/2018,95.0000,44.3200,469.9400,67.7900
6/21/2018,93.4500,44.6100,463.1600,68.0800
